home_age,home_value,square_feet,location_risk,construction_type,security_system,smoke_detectors,flood_zone,roof_age,owner_age,claims_history,garage,premium
9,640094,5800,medium,concrete,yes,no,yes,23,76,1,no,3352
7,1275033,1139,low,steel,yes,no,no,21,68,3,no,3021
9,617525,2421,high,wood,no,yes,yes,28,30,2,no,4038
26,629317,1074,low,wood,no,yes,no,7,48,1,no,2589
2,1038745,2901,medium,wood,yes,no,yes,11,68,1,no,3390
5,198872,4224,medium,steel,yes,yes,yes,24,56,2,yes,2891
66,1011938,3140,low,wood,no,yes,yes,22,32,1,yes,4016
10,673670,3312,medium,steel,no,yes,yes,0,40,2,yes,3121
31,264834,3218,low,brick,no,no,yes,24,52,3,yes,3146
33,1278867,3449,high,steel,yes,yes,yes,14,36,0,yes,3915
6,1387800,3838,high,concrete,no,yes,no,12,74,1,yes,3325
14,1278521,5944,low,steel,yes,no,yes,24,78,2,no,3768
78,562791,2756,medium,wood,yes,no,yes,9,48,0,no,3347
15,1130197,4088,medium,brick,no,no,no,17,54,0,yes,2524
97,1449407,3403,high,brick,no,yes,yes,29,28,2,yes,5503
95,424999,4973,medium,brick,yes,yes,no,17,44,1,yes,2736
81,556556,4082,medium,concrete,no,no,yes,6,57,1,no,3666
43,676065,5910,low,concrete,yes,no,no,14,43,1,yes,2743
79,606244,3314,high,concrete,yes,no,no,29,22,3,yes,3667
20,944812,5740,high,wood,no,yes,no,4,79,1,no,2980
21,1005558,849,low,wood,no,no,no,4,48,2,no,2893
64,591131,1158,low,concrete,yes,no,yes,0,73,0,yes,2198
29,445676,2185,high,steel,yes,yes,no,5,32,1,yes,2083
59,1343159,4046,high,concrete,yes,yes,no,15,72,3,no,4116
73,1090242,4294,low,concrete,yes,no,no,7,33,2,no,3159
64,310893,2931,high,concrete,no,no,no,3,42,2,yes,2457
93,106041,5439,high,brick,yes,no,no,12,29,3,yes,3510
44,919785,5688,medium,wood,no,no,no,18,34,1,yes,3742
34,547973,2324,high,brick,no,no,yes,9,58,1,yes,3139
47,1190849,2186,low,steel,yes,no,yes,25,54,0,yes,3087
9,686770,5436,medium,steel,yes,no,yes,16,71,2,no,3371
60,251298,2505,medium,wood,no,yes,no,19,23,2,yes,3041
30,769299,3392,high,steel,no,yes,yes,17,30,0,yes,3376
17,1450947,1016,medium,brick,yes,no,no,4,34,1,yes,2795
52,599459,3178,low,brick,yes,no,yes,11,47,1,yes,2696
59,1433625,4213,low,brick,yes,yes,yes,25,66,1,no,3969
4,559929,5861,high,steel,no,no,yes,0,76,1,no,2972
40,1224042,1403,high,concrete,no,yes,yes,24,68,0,yes,4029
96,789794,3550,low,brick,yes,yes,yes,24,73,3,no,4086
96,751391,4811,low,brick,no,no,yes,20,30,3,no,4036
7,989264,3778,high,concrete,no,no,yes,0,36,2,no,3486
38,590248,2169,low,concrete,yes,no,yes,2,78,1,no,2537
32,369101,3849,high,wood,no,yes,yes,6,28,0,no,3243
69,163425,897,medium,steel,no,no,no,20,64,3,no,2761
67,1419426,3832,medium,brick,yes,no,yes,10,78,3,yes,4869
56,564213,1381,high,wood,yes,no,no,24,78,0,yes,3251
20,1087637,3632,high,steel,yes,yes,no,19,76,2,yes,3660
64,1341504,5107,high,wood,no,yes,yes,20,58,0,no,5048
17,1202900,5321,low,steel,no,yes,no,14,30,2,yes,3254
16,880965,1022,high,brick,no,yes,yes,2,35,1,yes,3477
11,339764,1717,high,wood,yes,no,no,7,51,2,no,2870
13,1199742,5238,medium,steel,yes,no,yes,28,72,1,no,3920
18,598338,5450,high,steel,no,yes,yes,2,68,1,no,3317
14,638194,4571,high,steel,no,no,yes,21,69,1,no,3607
34,1438211,3485,medium,concrete,no,no,yes,22,41,0,no,3910
76,834573,1135,low,steel,no,yes,yes,12,68,3,no,4311
86,1178111,2865,high,concrete,yes,yes,yes,1,75,0,yes,3839
85,478375,1977,high,brick,yes,yes,no,22,44,0,yes,2711
26,289234,4248,high,wood,yes,yes,no,2,36,3,no,3362
42,855353,1723,high,brick,no,yes,no,18,79,3,yes,3773
61,1318098,1020,medium,concrete,yes,yes,no,14,77,3,no,3893
39,1354848,2962,medium,brick,yes,yes,no,20,52,3,no,3841
2,1060665,914,medium,concrete,no,yes,yes,14,25,1,no,3298
57,1058709,3086,high,concrete,no,no,no,19,46,3,yes,4293
50,1059278,5970,low,steel,no,yes,yes,25,72,0,yes,3143
16,938698,2200,high,concrete,yes,no,no,6,40,1,no,2711
62,169794,5955,high,steel,yes,yes,yes,2,58,0,no,2443
98,317599,3748,low,wood,yes,yes,no,24,55,1,yes,2511
11,895794,3217,high,steel,yes,yes,no,16,22,1,no,2338
83,457199,699,medium,steel,no,yes,yes,29,62,2,no,3947
63,1389371,1490,medium,steel,no,yes,no,28,52,1,no,3390
30,913570,1411,low,steel,yes,yes,no,27,61,2,no,2597
54,1462065,5693,medium,wood,yes,no,yes,1,65,2,no,4862
71,1291423,4132,low,wood,no,yes,yes,15,56,1,yes,4269
27,750508,2021,low,wood,yes,yes,yes,10,48,3,no,3607
86,1486791,4643,high,concrete,yes,no,no,8,42,3,no,4759
64,1155526,844,medium,concrete,no,no,yes,10,29,0,yes,3595
81,520153,4052,low,steel,yes,yes,no,23,39,0,yes,2133
79,1085656,2699,high,steel,yes,no,no,22,44,2,yes,3948
9,737207,3862,low,concrete,no,no,yes,24,62,1,no,2778
76,684156,2769,medium,steel,yes,yes,yes,4,57,1,no,3164
72,355094,4082,medium,wood,yes,no,no,12,50,1,no,3111
2,422069,1613,high,brick,yes,no,yes,18,37,2,no,2921
49,636114,4989,low,steel,no,yes,no,12,71,1,yes,2268
48,809081,845,medium,brick,yes,yes,no,1,78,0,no,1971
55,737139,4667,medium,wood,yes,no,no,21,31,3,no,3699
80,1378539,1807,medium,steel,yes,no,no,28,38,2,yes,3999
67,214379,4120,medium,wood,yes,no,yes,1,43,3,no,3799
31,871237,2993,medium,wood,yes,no,yes,7,61,2,yes,3980
26,1473566,3839,low,wood,yes,no,yes,4,23,3,yes,4564
66,468700,2239,low,concrete,yes,yes,no,10,63,2,yes,2465
30,1109456,4076,high,steel,no,no,no,1,51,3,yes,3992
77,1352099,3248,medium,wood,yes,no,no,5,65,0,yes,3599
78,968308,4195,high,concrete,yes,no,no,21,60,0,yes,3171
1,132804,2683,low,steel,no,yes,yes,29,60,2,no,2947
96,1484174,1639,low,wood,no,yes,no,23,66,0,no,3608
70,557115,3321,high,steel,yes,no,yes,11,40,3,no,4059
22,164135,3359,low,concrete,no,yes,no,5,31,0,yes,1249
75,910131,1586,medium,concrete,yes,yes,yes,15,41,0,no,3479
87,1102383,3070,medium,steel,yes,no,no,18,45,3,no,3980
54,781356,1559,low,steel,no,yes,yes,23,27,3,yes,3855
14,881563,2852,medium,concrete,no,no,yes,17,66,1,no,3312
14,1419418,4852,high,wood,yes,no,no,8,39,1,yes,3923
84,486291,5526,low,concrete,no,no,no,21,37,2,no,2986
71,363116,898,high,wood,no,yes,no,16,75,2,yes,3609
19,321633,618,low,concrete,no,no,no,19,60,1,yes,1291
26,472855,2122,medium,concrete,no,no,yes,16,61,3,yes,3206
59,586708,2785,medium,wood,no,no,yes,2,61,2,no,4135
22,178457,1299,medium,brick,no,yes,yes,29,37,3,yes,2925
6,1036219,4738,medium,wood,no,no,yes,14,61,1,no,3515
63,1204148,1224,high,brick,yes,no,no,9,36,1,yes,3304
77,715464,3016,high,wood,yes,yes,yes,21,61,2,no,4773
74,642118,4674,low,concrete,yes,no,no,18,27,1,no,2100
54,838812,1752,medium,wood,no,yes,no,4,54,2,no,3361
19,1049611,1898,medium,brick,yes,no,no,23,69,0,no,2595
95,1331753,975,high,concrete,yes,yes,yes,23,34,3,yes,5077
10,1478089,5807,medium,wood,yes,yes,yes,12,25,3,yes,4771
37,1491052,4592,medium,wood,no,no,yes,24,53,3,no,5485
77,614500,5659,medium,concrete,no,yes,yes,27,71,0,no,3606
17,582618,1982,high,brick,no,no,no,3,50,1,yes,2391
55,1413127,1451,high,wood,no,no,no,13,79,1,yes,3908
5,1414025,1907,medium,brick,no,yes,yes,20,28,0,yes,3357
21,1088202,3778,high,wood,no,no,yes,19,54,0,yes,4138
39,555907,1082,medium,wood,yes,no,no,6,26,1,no,2448
20,1435169,1647,low,steel,no,no,no,27,79,0,no,2541
71,1313772,5763,medium,steel,yes,no,no,24,61,1,yes,3394
15,852284,1518,medium,wood,no,no,yes,5,25,0,no,2726
79,337035,3128,low,steel,no,yes,yes,10,28,0,no,2484
53,773997,4683,medium,brick,yes,no,no,10,37,1,no,2679
87,177725,2965,medium,steel,no,yes,no,17,58,1,yes,2773
33,1368085,2790,low,concrete,yes,no,yes,6,70,1,no,3533
44,1115217,5211,medium,steel,yes,no,yes,18,32,1,no,3723
66,248965,5931,low,wood,yes,yes,yes,23,71,2,no,3519
50,1359409,2647,low,concrete,yes,no,yes,2,26,2,no,3597
32,485734,2334,medium,wood,yes,no,no,8,50,1,yes,2153
79,1182337,2136,medium,steel,yes,yes,yes,13,76,3,no,4254
71,211971,2972,medium,wood,no,yes,yes,16,76,3,yes,4030
73,1360274,2149,low,steel,no,yes,no,21,46,2,no,3576
55,176089,1845,low,brick,yes,no,yes,26,24,0,no,2217
28,1135367,3133,high,concrete,no,yes,yes,25,53,1,no,3909
86,576892,2414,low,concrete,no,no,no,22,51,2,no,2864
3,171064,4126,high,brick,yes,yes,no,2,41,3,no,2236
53,715175,1731,low,concrete,yes,no,yes,5,51,1,no,3045
42,466547,5065,medium,wood,yes,yes,yes,10,24,0,no,3257
2,1356826,3559,medium,wood,yes,yes,yes,12,65,0,no,3593
22,684374,5088,medium,steel,yes,yes,yes,29,77,3,yes,4182
25,542931,4814,high,concrete,yes,yes,yes,25,36,3,no,4138
89,671902,2373,medium,concrete,yes,yes,yes,13,62,1,yes,3531
32,1495034,5049,low,concrete,yes,yes,no,2,35,2,yes,3147
7,463340,1365,medium,brick,yes,no,yes,8,61,1,no,2196
62,1131785,3604,medium,steel,yes,no,yes,5,71,1,yes,3771
31,1447608,2180,low,concrete,no,yes,yes,10,31,0,no,3488
63,634856,2261,high,concrete,yes,no,no,7,38,1,yes,2868
37,1371321,2270,medium,wood,no,yes,yes,19,36,2,yes,4734
68,758379,1687,high,brick,yes,yes,yes,7,50,1,yes,3665
97,334073,4547,high,concrete,no,yes,yes,20,74,3,no,4599
79,1488885,4089,medium,concrete,no,yes,yes,14,55,1,no,4656
9,365088,4977,low,brick,no,no,yes,14,56,3,yes,3244
70,539743,3200,high,wood,yes,yes,no,7,30,0,yes,3141
46,974891,3089,low,brick,yes,yes,yes,12,72,0,no,2777
95,546359,3981,high,steel,yes,yes,yes,14,38,0,yes,3464
34,1339565,2036,medium,wood,no,no,yes,15,78,0,no,4148
60,484501,1415,low,concrete,yes,yes,no,28,23,2,no,2662
13,887585,5693,low,concrete,yes,no,no,1,47,0,no,1870
36,852770,831,high,steel,no,no,no,29,59,1,yes,3399
96,666994,2084,low,brick,no,yes,yes,28,64,0,yes,3036
86,707380,4255,medium,concrete,yes,no,yes,2,49,3,yes,4123
48,294540,2078,low,brick,yes,yes,no,15,51,3,yes,2301
93,158643,5084,low,brick,no,yes,no,9,64,2,no,2682
75,251188,1931,high,brick,yes,yes,yes,19,76,2,yes,3526
6,1184611,1880,low,concrete,yes,yes,no,0,30,0,no,2011
5,1235000,3021,low,wood,no,no,yes,4,49,0,no,3474
65,391698,4223,medium,concrete,no,no,yes,2,37,3,no,3565
50,351515,2839,low,wood,yes,no,yes,6,45,0,no,2344
74,1149798,4194,medium,wood,yes,yes,yes,17,43,0,yes,4180
74,235712,2005,low,wood,no,yes,yes,13,41,1,no,3423
24,1022418,2487,low,concrete,no,no,yes,13,73,1,no,3483
7,280825,2782,medium,steel,yes,yes,no,26,35,2,yes,2609
86,1045241,778,low,steel,yes,no,no,13,73,0,no,2277
58,1428915,1150,low,wood,no,yes,no,28,64,0,yes,3354
21,1023191,5251,high,concrete,yes,no,yes,0,53,3,no,4009
86,312992,4674,high,steel,no,yes,no,17,31,1,yes,3009
33,539462,5504,low,steel,yes,no,no,2,23,0,yes,1649
44,670311,3966,medium,concrete,no,yes,yes,25,28,1,no,3723
25,1245422,4852,high,brick,no,no,no,20,22,2,yes,3956
95,1487771,800,low,steel,no,yes,no,21,58,3,no,4400
80,1262261,4495,high,steel,no,yes,yes,23,36,2,no,4949
15,179626,1946,low,concrete,no,yes,yes,12,32,0,yes,2215
29,438649,5040,medium,concrete,no,no,no,19,41,0,yes,2150
83,170727,3063,high,concrete,yes,yes,yes,14,71,0,yes,3072
52,727208,2744,high,steel,no,yes,yes,19,62,1,yes,4125
17,911916,1220,low,concrete,yes,no,no,28,54,1,yes,1953
90,134754,2377,medium,wood,yes,no,yes,17,73,2,no,3741
36,1008934,4480,medium,wood,no,yes,yes,2,59,1,no,3551
35,1113442,5574,medium,concrete,no,no,no,18,41,0,yes,2606
40,1103466,1732,low,steel,yes,no,no,14,79,2,yes,2831
23,1097353,1554,medium,steel,no,yes,no,17,31,3,no,3272
73,142782,731,medium,steel,no,yes,yes,0,53,0,no,2501
34,1371091,1204,low,concrete,yes,yes,yes,17,57,1,yes,3473
58,145306,5261,medium,brick,no,yes,no,4,71,1,no,2038
82,1387770,2000,medium,wood,no,no,no,23,33,0,yes,3527
80,772971,3866,high,concrete,no,yes,no,20,79,0,yes,3386
61,1412775,4953,medium,brick,no,no,yes,11,46,2,no,4597
96,277896,4675,high,brick,no,no,no,18,30,3,no,3529
28,503285,4539,high,concrete,yes,no,no,22,70,1,no,2529
60,574743,3493,high,brick,no,yes,yes,19,38,1,yes,3548
32,947837,3148,high,brick,yes,no,yes,22,35,2,no,4109
58,405968,4483,medium,brick,no,yes,no,23,45,2,yes,3145
82,1249450,2485,high,wood,yes,yes,yes,18,62,3,no,5485
44,470036,938,high,brick,no,no,no,25,72,3,yes,3637
34,173012,2666,high,brick,no,yes,no,0,66,3,yes,2787
93,561721,1510,medium,concrete,no,no,yes,23,24,1,yes,3976
21,1096530,4596,low,concrete,no,yes,yes,21,71,2,no,3748
1,1205613,5418,high,wood,yes,yes,no,2,62,1,no,2939
55,1170070,1453,high,concrete,yes,no,yes,24,37,1,yes,3883
80,820098,4870,low,wood,no,no,yes,0,39,2,no,3982
49,208387,4686,medium,brick,yes,yes,no,23,60,3,no,2814
97,301739,5214,high,brick,yes,no,yes,24,71,2,yes,3956
21,248729,1496,medium,brick,yes,no,yes,25,35,2,no,3071
99,1016897,832,high,concrete,yes,yes,no,16,31,1,no,3711
55,205848,3358,medium,wood,yes,yes,no,8,31,2,yes,2281
27,1486693,5229,medium,concrete,yes,no,yes,4,27,1,no,3971
20,693534,1424,high,concrete,yes,yes,yes,4,24,3,yes,3580
95,222916,724,high,wood,no,yes,no,10,70,3,no,3377
16,528924,4256,medium,wood,no,yes,no,20,43,0,no,2255
78,1083460,1297,high,steel,yes,yes,yes,26,23,2,no,4457
48,135847,1661,low,steel,yes,no,no,16,60,3,no,2122
32,1359684,847,medium,steel,yes,no,yes,15,33,1,yes,3492
32,292631,4695,low,wood,no,no,no,4,78,1,yes,1929
53,1071495,2606,high,brick,yes,no,no,11,22,1,no,3567
53,1275264,2519,low,concrete,no,yes,yes,13,73,3,no,4282
2,856083,2211,low,concrete,no,yes,yes,29,58,2,no,3484
57,216968,740,medium,steel,yes,yes,no,9,34,2,no,2440
22,190849,4792,low,brick,yes,yes,yes,12,53,3,no,2778
52,310339,4263,high,wood,no,no,yes,14,46,3,yes,4351
81,1251427,3927,medium,concrete,no,yes,yes,25,72,0,no,4152
96,1122608,1977,high,brick,no,no,yes,5,59,2,no,4394
81,1085081,4640,high,concrete,yes,no,yes,4,26,0,no,3611
58,1342397,3463,low,concrete,yes,yes,no,15,58,0,yes,3124
34,851147,2150,high,concrete,no,yes,yes,5,39,0,yes,3764
71,788499,2617,low,wood,yes,yes,yes,28,31,0,yes,3195
93,340164,1407,medium,wood,no,yes,yes,27,74,2,yes,4317
17,678815,3445,medium,concrete,no,yes,yes,24,40,0,no,3101
88,1331323,4039,low,wood,no,yes,yes,22,55,2,yes,4967
72,843634,5230,medium,brick,yes,no,yes,10,51,3,yes,4054
23,1005620,2912,medium,brick,no,yes,yes,28,53,2,no,3804
33,475387,1271,medium,concrete,no,no,no,20,32,3,yes,3207
29,761010,904,medium,steel,yes,no,yes,25,43,2,no,3871
19,803075,3076,low,brick,no,no,no,8,51,2,yes,2467
69,363562,5479,low,wood,no,no,yes,20,22,2,yes,3560
37,689458,1911,high,wood,no,no,yes,4,27,1,yes,3747
87,309476,3440,high,brick,no,yes,yes,10,35,2,no,3778
26,791329,4533,medium,steel,no,yes,yes,5,77,3,yes,3690
24,1400504,4732,low,concrete,no,yes,yes,23,24,2,no,4072
54,1173778,4996,low,brick,no,no,yes,16,79,0,yes,3610
21,1134013,735,low,wood,no,no,yes,8,60,3,yes,4279
97,840241,3912,high,steel,no,no,yes,7,36,0,no,3912
90,1379598,4870,medium,concrete,yes,yes,no,29,52,3,yes,4552
10,1470063,3451,low,wood,yes,yes,yes,6,40,0,yes,3458
42,708843,3632,high,concrete,no,yes,no,4,43,3,no,3306
29,692167,3006,low,concrete,yes,yes,no,16,28,0,no,2070
57,829080,4577,low,steel,yes,yes,no,22,48,0,yes,2072
35,682641,2904,high,concrete,yes,yes,no,8,56,3,no,3307
28,753738,3665,high,wood,yes,yes,no,18,64,3,no,3900
12,934501,1841,low,concrete,yes,yes,no,11,26,3,no,3081
58,836425,3767,medium,concrete,no,yes,no,7,67,0,yes,2301
44,908814,4270,medium,brick,no,yes,no,15,56,2,yes,3204
7,538326,730,high,brick,no,no,yes,13,57,3,no,3493
16,742716,1226,low,wood,yes,no,yes,13,58,3,yes,3890
84,1219088,887,high,concrete,yes,no,no,18,44,2,yes,3746
93,286293,3307,low,brick,yes,yes,yes,27,57,0,no,2708
35,220786,2703,low,wood,yes,yes,no,2,25,1,yes,2161
92,994727,2647,low,concrete,yes,yes,no,6,23,1,no,2546
7,976039,2981,high,wood,no,yes,yes,5,58,2,no,4121
86,1298916,2234,high,concrete,no,no,yes,29,56,2,yes,5288
14,331985,2195,high,steel,yes,yes,yes,4,67,1,yes,3025
59,1113763,3855,high,brick,yes,yes,yes,15,25,1,no,3975
62,315403,1286,medium,steel,yes,no,no,10,69,0,yes,2056
74,797635,3311,low,concrete,yes,no,yes,22,77,1,no,3411
66,1010724,5504,high,steel,yes,yes,yes,24,25,0,yes,3911
22,907664,4699,low,steel,yes,yes,yes,0,27,3,no,3608
16,967326,2211,medium,brick,no,no,no,9,72,2,yes,2794
99,537718,3082,high,steel,no,no,yes,28,38,3,no,4474
75,297033,5679,medium,concrete,no,no,yes,16,25,2,yes,3268
43,522286,5477,high,concrete,no,no,no,20,43,3,no,3648
97,762457,4662,low,steel,no,yes,no,23,78,0,no,2825
98,615853,5883,medium,brick,yes,yes,no,22,42,2,yes,3463
97,1122791,1594,medium,brick,no,yes,no,6,33,3,yes,3738
83,1178984,2001,high,steel,yes,no,yes,2,28,2,no,4535
20,762858,2153,low,brick,no,yes,yes,24,69,0,no,2883
10,485387,3475,low,steel,no,yes,yes,4,49,1,yes,2667
19,304141,3827,low,steel,no,no,yes,26,67,3,yes,3256
12,752369,4170,low,wood,yes,yes,no,29,34,2,no,3062
10,589278,5728,high,steel,yes,no,yes,11,64,1,no,3217
71,973014,1259,medium,brick,no,no,yes,9,64,1,yes,3448
56,217535,1564,high,concrete,no,yes,no,2,54,2,yes,2682
11,1285515,2674,low,steel,no,yes,no,15,61,1,no,2629
80,577859,1587,medium,wood,no,yes,no,5,34,2,no,3179
97,1160716,1212,medium,wood,yes,no,yes,15,25,2,no,5076
61,1469172,2730,low,wood,yes,no,no,23,77,0,no,3000
38,1486863,3814,high,wood,yes,no,yes,7,46,2,yes,4877
17,511497,1876,high,brick,no,yes,no,19,72,3,no,3156
54,268660,2744,low,concrete,no,no,no,28,41,0,yes,1965
45,269771,5566,medium,steel,yes,no,no,19,59,0,no,1875
25,1293201,4106,medium,steel,no,no,yes,8,56,0,yes,3011
31,459585,828,high,concrete,yes,yes,no,29,30,0,no,2160
65,1361659,1618,medium,steel,yes,no,no,29,72,3,yes,3980
39,1023273,1820,low,steel,yes,no,yes,12,51,3,no,3981
20,670873,5890,medium,wood,yes,no,yes,25,60,0,no,3501
73,162063,3479,high,wood,no,yes,no,1,44,1,yes,2966
43,775723,3957,high,brick,yes,yes,yes,28,32,3,yes,4750
66,1410016,3704,low,concrete,yes,yes,yes,8,36,3,yes,4524
1,958212,5472,high,brick,no,no,yes,28,68,0,no,4005
55,1485767,2146,low,steel,no,yes,yes,12,74,3,yes,4406
51,1450640,2211,medium,wood,yes,yes,no,13,43,0,no,3553
5,1232736,4577,medium,wood,yes,yes,yes,23,38,1,yes,4011
12,867436,5707,medium,wood,no,no,yes,12,68,0,no,3274
14,913774,4749,low,concrete,no,yes,no,18,33,1,yes,2351
60,1094589,2978,high,steel,no,yes,no,15,72,3,yes,4125
96,471927,5200,low,concrete,no,no,no,17,56,1,yes,2882
40,883815,4843,medium,wood,yes,no,yes,15,55,0,yes,3829
9,615010,5212,medium,concrete,no,yes,no,1,22,2,no,2267
42,1351555,2927,medium,wood,no,no,yes,0,78,3,no,4748
42,915146,5111,medium,concrete,yes,no,no,9,53,2,no,2960
33,593748,1155,medium,concrete,no,no,yes,24,25,0,no,3414
25,168094,805,low,wood,yes,no,yes,13,45,2,yes,2774
