age,gender,vehicle_age,vehicle_type,annual_mileage,accidents_history,traffic_violations,license_years,city_type,credit_score,anti_theft,multi_car,premium
72,male,17,sports,9158,0,3,50,rural,675,yes,yes,2164
31,male,2,truck,46773,3,1,13,suburban,525,no,yes,3515
56,male,2,suv,21786,0,4,38,urban,773,yes,no,2814
44,female,9,sedan,45693,1,6,26,rural,324,no,no,3714
26,female,18,sports,35911,4,0,8,urban,664,yes,no,4283
32,male,2,hatchback,31578,4,3,14,urban,394,no,no,4180
32,male,11,sedan,9166,4,4,14,urban,807,yes,yes,3650
43,male,15,sedan,24309,2,4,25,rural,475,no,yes,3286
59,male,16,suv,20076,2,3,41,urban,707,no,no,3038
30,female,6,suv,24377,3,3,12,urban,789,no,yes,3870
68,male,12,suv,14278,3,2,50,rural,758,yes,yes,3026
49,female,1,sports,38539,2,4,31,urban,712,no,yes,4013
56,male,3,truck,16440,4,3,38,rural,637,yes,yes,3390
66,male,9,sedan,31245,2,5,48,urban,630,yes,yes,3280
69,male,6,truck,27097,0,7,50,suburban,512,yes,no,2953
49,male,16,truck,13167,4,6,31,urban,644,no,no,4109
21,female,19,suv,6556,2,6,3,suburban,846,yes,no,2848
47,female,5,truck,48918,3,5,29,rural,823,yes,no,3932
54,female,18,sedan,6151,2,6,36,suburban,645,no,no,2573
40,male,4,sedan,26698,1,0,22,rural,547,no,no,2450
56,male,9,hatchback,22601,2,6,38,urban,624,no,no,3641
62,female,8,sports,31807,4,1,44,suburban,766,no,yes,3681
32,female,12,truck,25328,2,6,14,urban,390,yes,no,3709
60,male,18,sports,13039,3,5,42,suburban,593,yes,yes,4002
46,male,5,sports,11303,0,2,28,rural,840,yes,yes,2271
53,female,3,sports,24053,1,3,35,rural,823,yes,yes,3028
30,male,2,sports,36644,4,1,12,rural,558,yes,yes,4499
49,male,2,sedan,40745,3,2,31,rural,386,no,yes,3733
24,female,3,truck,25762,1,4,6,urban,457,yes,no,3090
68,male,4,hatchback,28611,2,1,50,urban,793,no,yes,3190
39,female,7,sports,5422,1,5,21,urban,485,no,no,3535
45,male,15,hatchback,36275,0,2,27,urban,643,yes,no,2160
19,female,2,sedan,31597,1,3,1,urban,815,yes,no,2339
59,male,11,sedan,16985,1,3,41,rural,808,yes,yes,2105
62,female,7,suv,33707,2,6,44,urban,839,no,yes,3576
74,female,12,sports,8372,2,2,50,urban,315,no,no,3554
70,female,3,suv,21083,4,4,50,urban,824,no,no,4339
23,female,13,hatchback,39710,2,6,5,rural,499,yes,no,3767
45,male,13,truck,30816,1,5,27,rural,483,no,no,2896
45,male,12,suv,14950,0,2,27,rural,608,no,no,1818
61,female,5,sedan,39247,2,0,43,rural,807,no,yes,3008
61,male,16,sports,9626,4,2,43,urban,580,no,no,4229
37,male,3,hatchback,31408,4,2,19,urban,457,yes,no,3858
47,male,7,sedan,15777,1,5,29,suburban,659,no,no,2553
28,male,16,truck,10147,2,3,10,urban,558,yes,no,2614
72,male,2,sports,10443,2,6,50,rural,456,yes,yes,3875
45,female,16,truck,5079,4,4,27,rural,724,yes,no,3271
42,female,8,truck,36282,2,6,24,urban,320,yes,no,4391
56,female,1,sports,43345,1,2,38,suburban,646,no,yes,3131
50,female,12,sports,17901,0,1,32,rural,649,yes,no,1830
18,male,19,truck,7223,1,3,0,suburban,684,yes,yes,1511
74,male,1,hatchback,40337,2,3,50,rural,737,no,yes,3202
44,female,19,sports,47732,1,7,26,rural,755,no,no,4226
74,male,10,sedan,18768,3,2,50,urban,845,no,no,3189
69,male,14,suv,22507,3,5,50,rural,379,no,yes,3957
30,female,10,hatchback,21249,2,1,12,suburban,751,yes,yes,2498
58,male,2,sports,40391,2,2,40,suburban,840,no,no,3783
20,female,2,sports,39171,0,1,2,urban,788,no,no,3000
56,female,11,hatchback,12485,1,3,38,rural,822,yes,yes,1833
23,male,4,suv,49568,0,1,5,suburban,691,yes,no,2090
25,male,19,truck,34784,2,6,7,urban,658,no,yes,3227
44,female,6,sedan,29617,2,2,26,suburban,332,yes,no,3182
26,female,6,sports,42748,4,0,8,urban,435,no,no,4940
54,male,12,suv,8878,0,0,36,suburban,709,no,yes,1247
50,female,8,sedan,6949,2,1,32,rural,828,yes,yes,1946
68,female,12,hatchback,24844,3,5,50,suburban,390,yes,no,3742
59,female,11,sports,25881,4,2,41,suburban,712,yes,yes,3638
61,male,12,truck,26614,1,4,43,urban,598,yes,no,3022
41,female,9,hatchback,28828,4,0,23,urban,786,no,no,3601
32,male,0,sports,14958,1,7,14,urban,372,no,yes,3934
71,female,7,suv,13697,3,3,50,suburban,560,yes,no,3592
49,male,15,sedan,26624,1,6,31,urban,611,no,no,2790
49,female,12,sedan,20493,0,2,31,rural,464,yes,yes,1946
41,male,2,sports,47801,1,2,23,urban,634,no,yes,3518
58,male,2,hatchback,26199,1,6,40,urban,801,no,yes,3039
69,male,4,truck,47354,4,0,50,rural,460,no,no,4290
66,female,10,suv,5256,3,6,48,urban,689,no,yes,3954
66,female,6,sports,39488,1,6,48,urban,370,no,no,4335
69,female,9,suv,35493,0,4,50,suburban,391,no,yes,2976
29,male,9,sedan,28731,4,7,11,suburban,660,yes,no,4043
56,female,19,truck,12076,3,6,38,urban,620,yes,no,3073
19,male,1,suv,6071,3,3,1,rural,544,yes,yes,2972
20,female,2,sports,39390,2,4,2,urban,323,no,no,4715
66,male,7,truck,7066,0,3,48,urban,702,yes,no,1703
54,male,10,hatchback,30645,4,0,36,urban,672,no,yes,3784
66,male,12,sports,46410,4,2,48,suburban,585,no,no,4609
73,female,6,suv,38665,0,3,50,rural,740,no,no,2730
34,female,12,truck,34412,3,2,16,rural,651,yes,no,2915
66,female,1,sports,36835,1,1,48,rural,518,no,no,3467
19,male,5,truck,46041,0,1,1,suburban,784,no,no,2362
19,male,8,truck,43549,4,7,1,suburban,742,yes,no,4045
45,female,19,truck,48167,0,0,27,urban,517,yes,yes,2522
71,female,1,suv,31578,3,7,50,suburban,366,yes,yes,4732
40,female,17,sports,14883,2,0,22,urban,330,no,yes,3913
54,male,15,sedan,47139,2,5,36,suburban,621,no,no,3222
49,male,11,sedan,27217,1,0,31,urban,549,yes,yes,2399
50,male,6,suv,15707,1,1,32,suburban,309,no,yes,2687
18,male,6,suv,45856,3,3,0,rural,584,no,no,4027
36,male,16,truck,18140,1,6,18,urban,452,no,yes,3110
19,female,12,sports,16093,2,6,1,suburban,843,yes,yes,3528
70,male,10,sports,21500,3,6,50,suburban,828,no,no,4176
61,male,5,hatchback,43553,3,4,43,urban,670,yes,yes,3822
43,male,13,hatchback,11507,3,6,25,suburban,600,yes,yes,3295
49,male,5,sedan,37586,0,0,31,rural,445,yes,yes,2196
23,male,5,hatchback,10830,1,6,5,urban,351,no,yes,3094
49,female,1,hatchback,35608,4,4,31,urban,703,no,yes,4270
72,male,19,sedan,42329,2,4,50,urban,440,no,yes,3738
21,male,14,sedan,29511,1,1,3,urban,387,yes,no,2680
72,male,16,hatchback,38427,2,5,50,urban,726,yes,no,3466
28,female,7,sports,23506,1,3,10,rural,383,no,yes,3101
73,female,4,hatchback,33395,4,1,50,urban,542,no,yes,4065
34,female,16,truck,49303,2,0,16,rural,405,yes,yes,2994
55,male,19,truck,32126,4,1,37,rural,654,no,no,3180
41,female,0,truck,34466,2,1,23,rural,320,yes,yes,2641
22,male,17,suv,22970,0,1,4,urban,305,yes,no,1923
69,male,14,truck,9682,0,0,50,rural,520,yes,no,1481
51,female,4,sports,15939,2,0,33,urban,386,yes,yes,3372
23,male,6,suv,13826,2,7,5,rural,752,no,no,3202
39,male,17,suv,28371,4,1,21,urban,641,yes,yes,3480
28,male,5,truck,34946,3,1,10,suburban,692,yes,no,2618
65,female,4,hatchback,29359,2,4,47,suburban,651,no,yes,2977
33,male,18,sedan,24266,1,7,15,rural,545,yes,yes,3267
50,male,9,hatchback,43017,1,3,32,suburban,412,yes,no,3232
26,female,14,hatchback,24195,1,4,8,rural,457,yes,yes,2719
23,male,9,suv,32315,0,5,5,rural,536,yes,no,2874
33,male,15,suv,23268,4,3,15,rural,542,no,yes,4136
46,female,11,suv,14710,0,7,28,suburban,465,no,no,2685
20,male,17,sports,46581,1,5,2,rural,333,no,yes,3833
37,male,0,sports,19161,2,3,19,suburban,554,no,yes,3494
53,male,15,sedan,36821,1,1,35,suburban,601,yes,yes,1905
36,male,5,suv,14729,2,7,18,urban,519,yes,no,4023
43,male,2,truck,31913,4,7,25,suburban,331,no,no,4962
20,female,1,suv,27184,3,4,2,urban,808,yes,yes,3689
36,female,1,sports,28279,2,3,18,rural,781,no,yes,3810
37,female,12,suv,31570,0,5,19,rural,532,yes,yes,2828
49,female,8,sports,48030,1,3,31,urban,514,no,no,3980
24,male,15,suv,40133,1,0,6,rural,541,no,yes,2380
69,male,4,truck,18195,1,3,50,urban,544,no,yes,3302
58,male,6,sedan,48805,2,6,40,urban,319,no,yes,4501
50,male,12,truck,48998,4,1,32,rural,509,yes,no,4135
57,male,19,sports,22238,2,2,39,urban,725,yes,yes,2713
56,female,12,hatchback,20552,0,0,38,urban,371,yes,yes,2059
35,female,6,truck,7728,1,2,17,urban,477,no,no,2437
57,male,9,suv,28557,2,7,39,rural,822,no,yes,3392
18,male,14,sedan,9938,1,1,0,rural,598,yes,no,1816
28,male,5,suv,36202,0,6,10,rural,565,yes,no,3307
45,female,4,suv,5131,3,7,27,rural,819,yes,no,3970
74,male,1,truck,30692,3,2,50,rural,794,yes,no,3317
42,male,14,sedan,24977,3,7,24,suburban,574,no,no,3907
67,male,15,hatchback,38061,1,3,49,suburban,352,no,yes,2867
40,female,18,suv,32264,2,2,22,urban,699,yes,yes,3167
48,male,8,sedan,30575,1,4,30,suburban,713,yes,yes,2332
47,female,18,hatchback,19727,4,1,29,rural,788,yes,yes,3034
59,female,6,suv,15488,2,4,41,rural,801,no,yes,3073
52,female,3,sedan,25069,0,2,34,rural,606,yes,yes,1853
24,female,2,truck,29400,3,7,6,urban,716,no,yes,3814
33,female,19,suv,29146,2,6,15,urban,808,no,yes,3491
43,female,10,suv,11846,2,7,25,urban,829,yes,no,3160
65,male,0,sedan,45352,3,7,47,urban,305,yes,yes,4864
74,male,5,suv,28694,0,4,50,urban,721,yes,yes,2952
69,male,10,hatchback,26740,1,0,50,urban,750,no,no,2576
66,female,0,suv,35996,1,2,48,suburban,726,yes,yes,2792
19,male,6,sports,37125,2,5,1,rural,689,yes,no,3583
18,female,5,hatchback,46409,3,4,0,suburban,633,no,yes,3960
65,female,13,sedan,49200,4,3,47,urban,747,no,yes,4247
29,female,1,hatchback,27970,0,2,11,rural,637,no,no,1662
22,male,3,sports,15895,1,6,4,rural,387,yes,yes,3622
54,female,10,sports,43071,0,5,36,rural,568,no,no,3722
49,female,14,suv,27258,0,6,31,suburban,364,no,no,2871
72,male,17,suv,28354,0,0,50,rural,363,no,no,2192
26,male,0,truck,35641,3,3,8,urban,569,no,yes,4181
58,female,2,hatchback,13444,3,2,40,urban,676,no,no,3269
52,female,2,truck,14611,3,6,34,suburban,628,yes,no,3514
36,male,6,sports,15528,2,3,18,suburban,817,no,yes,3049
65,male,0,suv,5999,3,2,47,urban,720,no,no,3450
33,male,10,suv,8760,2,2,15,suburban,612,no,no,2393
20,female,5,suv,41884,1,1,2,rural,608,yes,yes,2318
37,male,19,sedan,42179,1,4,19,suburban,488,yes,yes,2894
41,male,2,sports,26941,1,2,23,rural,341,no,yes,3294
71,male,18,suv,31022,1,0,50,rural,619,no,no,1916
73,female,1,sports,48130,1,5,50,rural,744,no,no,3835
50,male,17,suv,48881,3,4,32,rural,673,no,yes,3885
41,male,11,hatchback,41451,4,1,23,rural,585,yes,no,3548
69,male,9,sports,31521,3,4,50,urban,470,yes,no,4616
28,male,4,truck,34639,4,4,10,urban,562,yes,yes,4949
66,male,8,sedan,39621,3,2,48,urban,834,no,yes,3476
25,female,1,truck,36449,1,0,7,rural,441,no,yes,2462
53,female,1,sports,18079,0,2,35,suburban,447,yes,no,2544
55,female,5,suv,11895,4,6,37,suburban,739,yes,yes,3914
57,male,9,sports,32979,0,0,39,rural,715,no,no,2146
37,female,17,sedan,17552,1,6,19,suburban,324,yes,yes,2732
52,female,11,sports,32394,4,0,34,rural,393,yes,no,3999
65,female,3,suv,37276,0,3,47,suburban,604,yes,yes,2686
42,male,16,truck,38630,3,2,24,rural,484,yes,no,3458
52,male,14,hatchback,9527,1,7,34,suburban,582,yes,no,2689
42,female,5,truck,17247,3,7,24,suburban,454,no,no,4198
46,female,15,suv,22603,3,6,28,urban,313,no,no,4165
35,male,16,suv,41563,1,1,17,suburban,640,no,no,2103
63,male,2,sedan,5527,4,5,45,suburban,772,no,no,3644
35,female,9,sports,7922,2,7,17,rural,407,yes,no,4229
19,male,4,sports,10849,2,7,1,suburban,630,no,yes,3236
71,female,13,truck,35300,1,4,50,suburban,839,yes,no,2399
52,male,12,hatchback,32780,2,3,34,suburban,738,yes,no,2936
33,female,5,hatchback,33140,0,6,15,suburban,683,no,no,2424
58,female,11,sedan,22230,4,1,40,suburban,459,no,no,3741
53,male,7,suv,31693,3,5,35,urban,731,no,no,3976
50,female,4,sedan,11959,3,5,32,suburban,695,no,yes,3307
21,female,14,sports,40854,1,2,3,rural,787,yes,yes,3160
50,female,15,suv,47730,3,0,32,rural,488,yes,yes,3340
31,male,0,sedan,24667,0,6,13,suburban,717,yes,no,2553
38,male,15,truck,31401,0,2,20,suburban,642,no,no,1928
65,male,4,sports,8323,1,5,47,suburban,660,no,no,2783
37,female,2,hatchback,5445,3,2,19,urban,408,yes,yes,3375
73,male,19,sedan,22409,2,3,50,rural,600,yes,yes,2592
25,female,14,sports,14963,2,6,7,urban,667,no,yes,3732
24,female,12,sports,20437,4,1,6,urban,554,no,no,4366
20,male,15,hatchback,21855,1,5,2,suburban,615,yes,no,2192
34,male,10,hatchback,21411,4,6,16,suburban,370,yes,no,4162
50,female,1,hatchback,15847,2,7,32,rural,568,yes,no,3650
65,female,5,sedan,8236,2,3,47,suburban,800,no,yes,2713
29,male,5,hatchback,18487,2,1,11,rural,508,yes,yes,2284
68,male,13,truck,16848,4,7,50,urban,777,yes,yes,4490
39,male,10,sports,18155,1,3,21,rural,475,no,yes,2927
72,female,7,hatchback,16255,0,4,50,rural,538,yes,yes,2532
39,female,7,sports,6979,0,0,21,rural,741,yes,no,1645
63,female,0,suv,26305,2,7,45,urban,791,yes,yes,3734
47,female,6,suv,14007,1,7,29,urban,398,no,no,3780
55,female,5,hatchback,40094,1,0,37,suburban,628,no,no,2112
55,male,7,sports,40098,3,0,37,suburban,625,yes,yes,3785
62,male,18,suv,29030,3,4,44,rural,744,no,yes,3378
68,female,19,hatchback,38770,4,5,50,rural,594,yes,no,4081
71,female,7,sports,14734,3,5,50,urban,741,yes,no,4501
25,male,13,hatchback,11448,4,4,7,urban,330,no,no,3995
44,male,17,sports,44605,0,0,26,urban,430,yes,no,3130
44,male,15,suv,17396,2,0,26,rural,826,no,yes,2072
51,male,8,hatchback,32881,1,1,33,rural,737,no,no,1864
38,female,14,suv,36177,0,1,20,urban,625,yes,yes,2488
47,male,9,hatchback,45122,0,7,29,rural,566,yes,yes,3251
50,female,15,sedan,40297,4,2,32,urban,585,no,yes,4429
45,male,3,suv,41680,2,7,27,suburban,590,no,yes,4494
64,male,19,suv,22916,4,6,46,urban,667,yes,no,4226
50,male,12,truck,36239,0,6,32,rural,785,no,no,2640
22,female,4,suv,49084,1,6,4,rural,467,yes,yes,4050
65,female,6,sports,39189,3,3,47,rural,770,yes,no,4062
36,male,8,hatchback,18510,4,1,18,rural,469,no,yes,3668
21,female,7,sedan,29966,0,1,3,urban,645,yes,yes,1451
52,female,15,sports,27152,3,1,34,urban,377,no,no,4352
66,male,5,sports,24202,3,1,48,suburban,384,yes,no,3584
34,male,15,sports,31445,0,7,16,urban,500,yes,no,3925
61,female,5,sports,16152,2,4,43,suburban,660,yes,no,3431
45,female,13,sedan,10617,0,2,27,urban,601,yes,yes,1623
47,female,0,truck,6195,1,1,29,urban,592,yes,yes,2388
46,male,8,suv,43997,3,5,28,rural,593,yes,yes,4289
63,male,12,sports,30433,1,3,45,suburban,408,no,no,3329
70,female,18,suv,10305,4,6,50,rural,664,no,no,3844
23,male,16,suv,13077,3,1,5,rural,793,yes,yes,2928
52,male,10,sports,36385,2,4,34,urban,566,no,no,4698
58,female,7,truck,47113,0,5,40,urban,392,no,yes,3303
54,female,4,suv,42968,4,6,36,suburban,363,no,yes,5122
41,male,9,hatchback,47642,1,0,23,suburban,727,no,yes,2342
46,male,6,suv,38062,4,7,28,urban,667,no,no,4922
66,female,9,sports,11097,2,0,48,suburban,404,yes,no,2816
63,male,3,sedan,44180,0,6,45,urban,508,yes,yes,3642
70,male,8,suv,46604,4,2,50,urban,773,yes,no,4531
48,female,13,truck,49593,1,0,30,urban,360,yes,no,2770
52,female,1,hatchback,11678,4,1,34,suburban,645,yes,no,3419
50,male,8,hatchback,37121,0,6,32,rural,311,no,yes,3376
69,male,0,sedan,26404,4,4,50,suburban,765,no,no,4082
38,male,9,sedan,10743,1,2,20,rural,494,yes,no,1923
49,female,9,suv,21494,0,5,31,suburban,373,yes,no,2770
40,male,19,sports,46543,2,1,22,rural,685,no,yes,3352
50,male,2,truck,49185,2,0,32,rural,435,yes,yes,3306
20,female,5,hatchback,14678,3,3,2,suburban,735,yes,yes,3086
35,female,5,sedan,42632,4,7,17,suburban,338,no,no,4867
42,male,1,truck,6648,1,1,24,rural,842,yes,yes,2087
59,female,17,sports,20677,4,3,41,urban,619,yes,no,4284
48,female,1,hatchback,27765,0,5,30,rural,652,yes,yes,2272
71,male,11,hatchback,7381,3,3,50,rural,813,yes,no,3267
